"","GWC","TS","NH4","NO3","Total_C","Total_N","pH","K","Mg","P","AOA_abundance","AOB_abundance","Coma_A_abundance","Coma_B_abundance","AOA_AOB_rat","ComA_ComB_rat","AOA_richness","AOA_Shannon","AOB_richness","AOB_Shannon","Coma_richness","Coma_Shannon"
"S55",0.276,78.4,1,8.1,1.48,0.165,6.19,7.6,109,1,8.568201724,8.615950052,8.053078443,7.075546961,0.095011212,0.313662992,66,3.10515848464819,55,3.11617260641629,54,2.66542606455946
"S57",0.253,79.8,1.6,5.1,1.23,0.134,6.08,5.2,155,0.8,8.307496038,8.545307116,7.910090546,6.922206277,0.076231543,0.317054414,56,2.86705607663663,77,3.08573060848658,36,2.35855504467437
"S59",0.262,79.2,0.1,13.1,1.63,0.179,6.76,13,130,1.1,8.689308859,8.421603927,8.053078443,7.252853031,0.136437614,0.254327825,92,3.83585587194927,62,3.20817343347032,85,3.68482496101225
"S61",0.287,77.7,0.1,12.9,1.65,0.186,6.75,9,123,0.7,8.586587305,8.45331834,7.8876173,6.982271233,0.116885005,0.287492923,87,3.93915733050363,69,3.24302889598419,85,3.57189166868834
"S63",0.294,77.3,1.8,4.2,1.26,0.14,5.88,8.5,147,0.7,8.10720997,8.264817823,7.609594409,6.764922985,0.083763922,0.267371137,56,2.87293234564279,75,3.51151394472125,31,2.32396595532004
"S65",0.278,78.2,1.5,12.2,1.37,0.155,6.04,12.3,118,1.2,8.374748346,8.489958479,7.741151599,6.961895474,0.087862648,0.247887811,55,2.81896348595986,82,3.69197556214261,48,2.46122615394184
"S67",0.259,79.4,0.6,10,1.46,0.163,6.24,8,110,1.2,8.657055853,8.704150517,7.96425963,7.235528447,0.095011212,0.233858393,94,3.92775696608487,97,3.67095856649651,63,3.02688478892616
"S69",0.294,77.3,0.1,18,1.89,0.215,6.77,8.1,179,0.8,8.612783857,8.607455023,8.167317335,7.320146286,0.100668703,0.268155,82,3.80315210967669,56,3.2019361330109,71,3.25315115212754
"S71",0.296,77.1,0.5,8.6,1.69,0.199,6.05,4.9,198,0.9,8.396199347,8.562292864,7.996511672,7.025305865,0.082555857,0.311441459,74,3.58533868115598,88,3.86042241935109,49,2.64536001812918
"S73",0.237,80.8,0.1,14,1.46,0.163,6.71,9.2,156,1,8.562292864,8.625312451,7.771587481,6.989004616,0.092869624,0.24872735,86,3.96126249628495,91,3.59885303712428,93,3.66253029475697
"S75",0.255,79.7,0.1,16.4,1.65,0.185,6.96,12.6,136,0.9,8.588831726,8.469822016,7.787460475,7.049218023,0.115145527,0.235846802,90,4.03287259632772,48,2.97598202827971,74,3.42981358039647
"S77",0.262,79.2,0.5,15.5,1.45,0.164,6.19,10.6,116,1.5,8.324282455,8.672097858,7.696356389,6.758911892,0.067132453,0.298700795,61,2.98589282784455,86,3.66938132983979,44,2.52006866146145
"S79",0.243,80.4,0.6,12.9,1.41,0.161,6.17,7.6,110,1.1,8.631443769,8.598790507,8.06069784,7.127104798,0.104111025,0.297988933,73,3.19043626907992,83,3.52151070791971,59,2.74280593327076
"S81",0.286,77.8,0.9,8,1.11,0.128,5.9,4.7,147,0.5,8.298853076,8.394451681,7.759667845,6.795880017,0.089562407,0.308169645,62,2.87262683802708,97,3.92862955623845,34,2.30306445373474
"S83",0.266,79,0,17.7,1.58,0.179,6.88,20.2,131,1.6,8.638489257,8.481442629,7.993876915,7.152288344,0.120289882,0.266978427,84,3.7713626437341,54,3.14235022520297,70,3.47497863977604
"S85",0.281,78.1,0.6,26,1.77,0.201,6.76,17.8,142,1.5,8.539076099,8.608526034,7.92992956,7.190331698,0.092326557,0.236286568,93,3.9540152806268,60,3.37932555366578,82,3.60298249011034
"S87",0.212,82.5,3.7,9.1,1.21,0.14,5.82,7.5,142,0.7,8.133538908,8.201397124,7.611723308,6.688419822,0.092326557,0.293505435,45,2.82257763387119,26,2.32581779381655,34,2.26464906531648
"S89",0.248,80.1,3,14.4,1.42,0.161,6.01,10.8,124,1,8.465382851,8.498310554,7.740362689,7.004321374,0.096064315,0.23606678,44,2.86600612293041,58,3.20423810551436,39,2.27725672049486
"S91",0.239,80.7,1.3,12.4,1.44,0.163,6.28,8.1,109,1,8.5132176,8.698970004,7.974511693,7.089905111,0.080710175,0.280240041,87,3.80464638278626,62,3.3080582731133,67,3.10314578323237
"S93",0.29,77.5,0.3,19.3,1.91,0.216,6.75,8.2,164,1.3,8.705863712,8.648360011,8.245512668,7.421603927,0.106974695,0.261224218,75,3.74987912911026,59,3.18962996881764,70,3.2411573273571
"S95",0.254,79.7,0.8,9,1.72,0.202,5.99,4.9,195,1.2,8.58546073,8.742725131,8.049218023,7.1430148,0.083763922,0.288227624,70,3.49311216160539,65,3.40236928482971,42,2.32888101126537
"S97",0.283,77.9,0.7,9.9,1.45,0.163,6.57,12.5,162,1.1,8.540329475,8.657055853,7.826074803,7.041392685,0.087288784,0.249773136,103,4.07871258711702,73,3.60249713691915,73,3.27521844735039
"S99",0.286,77.7,0.2,14.8,1.75,0.194,6.91,14.9,141,1.8,8.651278014,8.563481085,7.980911938,7.152288344,0.110679441,0.262224479,75,3.90379321408032,41,2.92658580498287,73,3.32826775360445
"S101",0.317,75.9,1.7,12,1.41,0.16,6.21,12.3,117,1.7,8.608526034,8.571708832,7.781036939,7.037426498,0.104593667,0.237819828,63,3.18932006701455,107,3.91071206693953,45,2.51989191585518
"S103",0.314,76.1,3.4,9,1.55,0.167,6.39,13.7,117,1.7,8.521138084,8.545307116,7.770852012,6.996949248,0.097622931,0.246200864,71,3.30800596071145,64,3.25486647178426,55,2.71293666231026
"S105",0.263,79.2,1.9,8.4,1.25,0.137,6.38,9.2,157,0.8,8.26245109,8.387389826,7.752816431,6.832508913,0.086711161,0.292601475,58,2.99090380381049,79,3.7039603881407,53,2.42857806695204
"S107",0.299,77,0,13.7,1.6,0.178,6.84,16.9,133,1.8,8.809559715,8.57054294,8.209515015,7.198657087,0.132294623,0.326388606,91,3.83602492717773,58,3.0608066294941,83,3.57006660248304
"S109",0.301,76.9,0.1,14.1,1.71,0.194,6.86,12,131,1.1,8.514547753,8.521138084,7.7084209,7.130333768,0.099157358,0.195406055,102,4.00148598599355,55,3.08227519636355,99,3.64525890156053
"S111",0.256,79.6,2.2,13.5,1.23,0.141,5.93,12.3,144,0.6,8.164352856,8.359835482,7.519827994,6.669316881,0.08008558,0.269521808,58,2.97939804572415,81,3.43442187713379,33,2.28678905515139
"S113",0.286,77.8,3.9,10.2,1.51,0.166,6.14,18.3,126,1.7,8.436162647,8.542825427,7.818225894,6.808210973,0.088432826,0.3253995,53,3.01731408378063,78,3.27320209998674,33,2.30916778550721
"S115",0.261,79.3,0.8,9.4,1.39,0.159,6.2,8.1,111,1.3,8.532754379,8.439332694,7.685741739,7.075546961,0.111586715,0.203136584,94,3.88963333500016,98,3.64462713683738,80,3.30331054425702
"S117",0.352,74,0.1,17,2.01,0.222,6.78,10.7,169,1.1,8.58546073,8.591064607,8.139879086,7.187520721,0.099663652,0.304343051,85,3.8207499802801,94,3.79320552882673,73,3.3344701730909
"S119",0.285,77.8,0.4,8.8,1.74,0.204,6.12,6.4,203,0.9,8.541579244,8.711807229,8.146128036,7.181843588,0.081945208,0.307996608,71,3.6306098226464,100,3.86691357194257,57,2.64250397215068
