DSAMP,PLOT,CHAMBER,TIME_POINT,time,fertilization,irrigation,N2O_ppm,N2O_umol_per_L,flux_nmol_m2_per_s
4/5/22,22,22,4,3600,BIODYN,drought,0.34624109,0.014456158,
4/5/22,23,23,1,0,CONMIN,control,0.349776109,0.014619339,3.183
4/5/22,23,23,2,1200,CONMIN,control,0.745862702,0.031174285,
4/5/22,23,23,3,2400,CONMIN,control,1.133172459,0.047362391,
4/5/22,23,23,4,3600,CONMIN,control,1.506253531,0.062955791,
4/5/22,24,24,1,0,CONMIN,drought,0.348123548,0.014534754,-0.003
4/5/22,24,24,2,1200,CONMIN,drought,0.348005016,0.014529805,
4/5/22,24,24,3,2400,CONMIN,drought,0.349525076,0.01459327,
4/5/22,24,24,4,3600,CONMIN,drought,0.346478128,0.014466055,
4/12/22,1,1,1,0,CONMIN,control,0.362401794,0.014840778,0.513
4/12/22,1,1,2,1200,CONMIN,control,0.415785081,0.017026887,
4/12/22,1,1,3,2400,CONMIN,control,0.488258573,0.019994761,
4/12/22,1,1,4,3600,CONMIN,control,0.554320691,0.022700082,
4/12/22,2,2,1,0,CONMIN,drought,0.348800275,0.014229215,0.896
4/12/22,2,2,2,1200,CONMIN,drought,0.471262171,0.019225015,
4/12/22,2,2,3,2400,CONMIN,drought,0.578943464,0.023617845,
4/12/22,2,2,4,3600,CONMIN,drought,0.683727251,0.027892472,
4/12/22,3,3,1,0,BIODYN,control,0.347426584,0.014227526,0.028
4/12/22,3,3,2,1200,BIODYN,control,0.348603021,0.014275702,
4/12/22,3,3,3,2400,BIODYN,control,0.352597834,0.014439295,
4/12/22,3,3,4,3600,BIODYN,control,0.357890349,0.014656029,
4/12/22,4,4,1,0,BIODYN,drought,0.347609737,0.014180647,0.019
4/12/22,4,4,2,1200,BIODYN,drought,0.345461329,0.014093003,
4/12/22,4,4,3,2400,BIODYN,drought,0.352294846,0.014371775,
4/12/22,4,4,4,3600,BIODYN,drought,0.353330662,0.014414031,
4/12/22,5,5,1,0,CONFYM,control,0.346074128,0.014172141,0.676
4/12/22,5,5,2,1200,CONFYM,control,0.423858735,0.017357512,
4/12/22,5,5,3,2400,CONFYM,control,0.525756592,0.021530349,
4/12/22,5,5,4,3600,CONFYM,control,0.622285682,0.025483328,
4/12/22,6,6,1,0,CONFYM,drought,0.350286796,0.014289857,0.010
4/12/22,6,6,2,1200,CONFYM,drought,0.348448037,0.014214845,
4/12/22,6,6,3,2400,CONFYM,drought,0.35206937,0.014362576,
4/12/22,6,6,4,3600,CONFYM,drought,0.353239057,0.014410294,
4/12/22,7,7,1,0,CONFYM,control,0.350075435,0.014335999,1.080
4/12/22,7,7,2,1200,CONFYM,control,0.479985747,0.019655979,
4/12/22,7,7,3,2400,CONFYM,control,0.622335543,0.02548537,
4/12/22,7,7,4,3600,CONFYM,control,0.738899297,0.030258792,
4/12/22,8,8,1,0,CONFYM,drought,0.348673469,0.014224042,0.035
4/12/22,8,8,2,1200,CONFYM,drought,0.352499186,0.014380111,
4/12/22,8,8,3,2400,CONFYM,drought,0.357544986,0.014585953,
4/12/22,8,8,4,3600,CONFYM,drought,0.362951699,0.014806518,
4/12/22,9,9,1,0,CONMIN,control,0.34837759,0.014266471,0.787
4/12/22,9,9,2,1200,CONMIN,control,0.436583138,0.017878591,
4/12/22,9,9,3,2400,CONMIN,control,0.540038595,0.022115214,
4/12/22,9,9,4,3600,CONMIN,control,0.645364988,0.026428453,
4/12/22,10,10,1,0,CONMIN,drought,0.36114694,0.014732894,-0.016
4/12/22,10,10,2,1200,CONMIN,drought,0.352611927,0.01438471,
4/12/22,10,10,3,2400,CONMIN,drought,0.351153401,0.01432521,
4/12/22,10,10,4,3600,CONMIN,drought,0.354655464,0.014468076,
4/12/22,11,11,1,0,BIODYN,control,0.346320662,0.014182237,0.051
4/12/22,11,11,2,1200,BIODYN,control,0.356227027,0.014587914,
4/12/22,11,11,3,2400,BIODYN,control,0.359765288,0.01473281,
4/12/22,11,11,4,3600,BIODYN,control,0.366752121,0.015018929,
4/12/22,12,12,1,0,BIODYN,drought,0.346369969,0.014130071,0.014
4/12/22,12,12,2,1200,BIODYN,drought,0.347335009,0.014169439,
4/12/22,12,12,3,2400,BIODYN,drought,0.349539998,0.014259391,
4/12/22,12,12,4,3600,BIODYN,drought,0.351998909,0.014359702,
4/12/22,13,13,1,0,BIODYN,control,0.345496547,0.014148489,0.017
4/12/22,13,13,2,1200,BIODYN,control,0.347116637,0.014214833,
4/12/22,13,13,3,2400,BIODYN,control,0.346292486,0.014181083,
4/12/22,13,13,4,3600,BIODYN,control,0.353387035,0.014471613,
4/12/22,14,14,1,0,BIODYN,drought,0.345982559,0.014114267,0.007
4/12/22,14,14,2,1200,BIODYN,drought,0.351998909,0.014359702,
4/12/22,14,14,3,2400,BIODYN,drought,0.350026118,0.014279223,
4/12/22,14,14,4,3600,BIODYN,drought,0.349575224,0.014260828,
4/12/22,15,15,1,0,CONMIN,control,0.347130726,0.01421541,0.183
4/12/22,15,15,2,1200,CONMIN,control,0.370158331,0.015158418,
4/12/22,15,15,3,2400,CONMIN,control,0.397824582,0.016291383,
4/12/22,15,15,4,3600,CONMIN,control,0.422048622,0.017283386,
4/12/22,16,16,1,0,CONMIN,drought,0.351942541,0.014357403,0.014
4/12/22,16,16,2,1200,CONMIN,drought,0.349680901,0.01426514,
4/12/22,16,16,3,2400,CONMIN,drought,0.351893219,0.01435539,
4/12/22,16,16,4,3600,CONMIN,drought,0.357150294,0.014569851,
4/12/22,17,17,1,0,CONFYM,control,0.348525529,0.014272529,0.715
4/12/22,17,17,2,1200,CONFYM,control,0.451013608,0.018469536,
4/12/22,17,17,3,2400,CONFYM,control,0.553119586,0.022650896,
4/12/22,17,17,4,3600,CONFYM,control,0.642891697,0.026327169,
4/12/22,18,18,1,0,CONFYM,drought,0.347039152,0.01415737,0.037
4/12/22,18,18,2,1200,CONFYM,drought,0.350505205,0.014298767,
4/12/22,18,18,3,2400,CONFYM,drought,0.358179331,0.014611831,
4/12/22,18,18,4,3600,CONFYM,drought,0.361344327,0.014740946,
4/12/22,19,19,1,0,CONFYM,control,0.361908302,0.014820569,0.220
4/12/22,19,19,2,1200,CONFYM,control,0.37733236,0.015452203,
4/12/22,19,19,3,2400,CONFYM,control,0.411290012,0.016842808,
4/12/22,19,19,4,3600,CONFYM,control,0.445032266,0.018224593,
4/12/22,20,20,1,0,CONFYM,drought,0.346482672,0.014134669,0.013
4/12/22,20,20,2,1200,CONFYM,drought,0.348518484,0.014217719,
4/12/22,20,20,3,2400,CONFYM,drought,0.352809224,0.014392759,
4/12/22,20,20,4,3600,CONFYM,drought,0.350624979,0.014303653,
4/12/22,21,21,1,0,BIODYN,control,0.346841916,0.014203583,0.028
4/12/22,21,21,2,1200,BIODYN,control,0.348624155,0.014276568,
4/12/22,21,21,3,2400,BIODYN,control,0.352351216,0.014429195,
4/12/22,21,21,4,3600,BIODYN,control,0.357728239,0.014649391,
4/12/22,22,22,1,0,BIODYN,drought,0.347313876,0.014168577,0.009
4/12/22,22,22,2,1200,BIODYN,drought,0.351977771,0.01435884,
4/12/22,22,22,3,2400,BIODYN,drought,0.349187746,0.014245021,
4/12/22,22,22,4,3600,BIODYN,drought,0.351963679,0.014358265,
4/12/22,23,23,1,0,CONMIN,control,0.346517892,0.014190314,0.940
4/12/22,23,23,2,1200,CONMIN,control,0.468052722,0.019167308,
4/12/22,23,23,3,2400,CONMIN,control,0.605686328,0.024803565,
4/12/22,23,23,4,3600,CONMIN,control,0.732068037,0.029979044,
4/12/22,24,24,1,0,CONMIN,drought,0.347433629,0.014173463,0.021
4/12/22,24,24,2,1200,CONMIN,drought,0.352266661,0.014370625,
4/12/22,24,24,3,2400,CONMIN,drought,0.356318647,0.014535925,
4/12/22,24,24,4,3600,CONMIN,drought,0.35503601,0.0144836,
4/19/22,1,1,1,0,CONMIN,control,0.379468808,0.015626857,0.013
4/19/22,1,1,2,1200,CONMIN,control,0.370879297,0.015273133,
4/19/22,1,1,3,2400,CONMIN,control,0.376288923,0.015495906,
4/19/22,1,1,4,3600,CONMIN,control,0.383270239,0.015783403,
4/19/22,2,2,1,0,CONMIN,drought,0.363511121,0.014855134,0.057
4/19/22,2,2,2,1200,CONMIN,drought,0.371036516,0.015162665,
4/19/22,2,2,3,2400,CONMIN,drought,0.37503123,0.015325912,
4/19/22,2,2,4,3600,CONMIN,drought,0.385599613,0.015757796,
4/19/22,3,3,1,0,BIODYN,control,0.364711795,0.01501915,0.003
4/19/22,3,3,2,1200,BIODYN,control,0.360702339,0.014854037,
4/19/22,3,3,3,2400,BIODYN,control,0.36589816,0.015068005,
4/19/22,3,3,4,3600,BIODYN,control,0.364404482,0.015006494,
4/19/22,4,4,1,0,BIODYN,drought,0.360845281,0.014746193,0.014
4/19/22,4,4,2,1200,BIODYN,drought,0.363153775,0.014840531,
4/19/22,4,4,3,2400,BIODYN,drought,0.36463318,0.014900988,
4/19/22,4,4,4,3600,BIODYN,drought,0.366369844,0.014971958,
4/19/22,5,5,1,0,CONFYM,control,0.361617168,0.01489171,0.085
4/19/22,5,5,2,1200,CONFYM,control,0.371922657,0.015316099,
4/19/22,5,5,3,2400,CONFYM,control,0.382655732,0.015758097,
4/19/22,5,5,4,3600,CONFYM,control,0.396738392,0.016338033,
4/19/22,6,6,1,0,CONFYM,drought,0.36119549,0.014760504,0.039
4/19/22,6,6,2,1200,CONFYM,drought,0.366920137,0.014994446,
4/19/22,6,6,3,2400,CONFYM,drought,0.374781119,0.015315691,
4/19/22,6,6,4,3600,CONFYM,drought,0.375016938,0.015325328,
4/19/22,7,7,1,0,CONFYM,control,0.364826145,0.015023859,0.103
4/19/22,7,7,2,1200,CONFYM,control,0.373494822,0.015380843,
4/19/22,7,7,3,2400,CONFYM,control,0.388007526,0.015978488,
4/19/22,7,7,4,3600,CONFYM,control,0.401182121,0.01652103,
4/19/22,8,8,1,0,CONFYM,drought,0.361667198,0.014779781,0.038
4/19/22,8,8,2,1200,CONFYM,drought,0.366748618,0.014987437,
4/19/22,8,8,3,2400,CONFYM,drought,0.372715889,0.015231294,
4/19/22,8,8,4,3600,CONFYM,drought,0.377189306,0.015414103,
4/19/22,9,9,1,0,CONMIN,control,0.362875043,0.014943511,0.138
4/19/22,9,9,2,1200,CONMIN,control,0.380362015,0.01566364,
4/19/22,9,9,3,2400,CONMIN,control,0.398567346,0.016413351,
4/19/22,9,9,4,3600,CONMIN,control,0.414697857,0.017077619,
4/19/22,10,10,1,0,CONMIN,drought,0.375938771,0.015362999,-0.009
4/19/22,10,10,2,1200,CONMIN,drought,0.369285648,0.015091114,
4/19/22,10,10,3,2400,CONMIN,drought,0.368621025,0.015063954,
4/19/22,10,10,4,3600,CONMIN,drought,0.372208508,0.015210559,
4/19/22,11,11,1,0,BIODYN,control,0.361066842,0.014869047,0.010
4/19/22,11,11,2,1200,BIODYN,control,0.362481959,0.014927323,
4/19/22,11,11,3,2400,BIODYN,control,0.364325866,0.015003257,
4/19/22,11,11,4,3600,BIODYN,control,0.364797557,0.015022682,
4/19/22,12,12,1,0,BIODYN,drought,0.358758296,0.014660907,0.008
4/19/22,12,12,2,1200,BIODYN,drought,0.362274696,0.014804607,
4/19/22,12,12,3,2400,BIODYN,drought,0.361109725,0.014757,
4/19/22,12,12,4,3600,BIODYN,drought,0.362546282,0.014815706,
4/19/22,13,13,1,0,BIODYN,control,0.360659456,0.014852271,0.031
4/19/22,13,13,2,1200,BIODYN,control,0.363954229,0.014987953,
4/19/22,13,13,3,2400,BIODYN,control,0.366984457,0.01511274,
4/19/22,13,13,4,3600,BIODYN,control,0.373301876,0.015372897,
4/19/22,14,14,1,0,BIODYN,drought,0.361295549,0.014764593,0.011
4/19/22,14,14,2,1200,BIODYN,drought,0.363318154,0.014847249,
4/19/22,14,14,3,2400,BIODYN,drought,0.365212072,0.014924645,
4/19/22,14,14,4,3600,BIODYN,drought,0.365505089,0.014936619,
4/19/22,15,15,1,0,CONMIN,control,0.359058482,0.014786341,0.085
4/19/22,15,15,2,1200,CONMIN,control,0.371701123,0.015306976,
4/19/22,15,15,3,2400,CONMIN,control,0.383756126,0.015803412,
4/19/22,15,15,4,3600,CONMIN,control,0.39404491,0.016227113,
4/19/22,16,16,1,0,CONMIN,drought,0.366162589,0.014963488,0.000
4/19/22,16,16,2,1200,CONMIN,drought,0.36202455,0.014794385,
4/19/22,16,16,3,2400,CONMIN,drought,0.360602279,0.014736262,
4/19/22,16,16,4,3600,CONMIN,drought,0.36644131,0.014974879,
4/19/22,17,17,1,0,CONFYM,control,0.356435395,0.01467832,0.090
4/19/22,17,17,2,1200,CONFYM,control,0.369871657,0.015231637,
4/19/22,17,17,3,2400,CONFYM,control,0.384099103,0.015817536,
4/19/22,17,17,4,3600,CONFYM,control,0.392794595,0.016175624,
4/19/22,18,18,1,0,CONFYM,drought,0.360344981,0.014725748,0.023
4/19/22,18,18,2,1200,CONFYM,drought,0.364504537,0.014895731,
4/19/22,18,18,3,2400,CONFYM,drought,0.366777204,0.014988605,
4/19/22,18,18,4,3600,CONFYM,drought,0.369993146,0.015120027,
4/19/22,19,19,1,0,CONFYM,control,0.374445254,0.015419982,0.051
4/19/22,19,19,2,1200,CONFYM,control,0.373566284,0.015383785,
4/19/22,19,19,3,2400,CONFYM,control,0.381569618,0.01571337,
4/19/22,19,19,4,3600,CONFYM,control,0.393780559,0.016216227,
4/19/22,20,20,1,0,CONFYM,drought,0.360202038,0.014719906,0.025
4/19/22,20,20,2,1200,CONFYM,drought,0.361595727,0.01477686,
4/19/22,20,20,3,2400,CONFYM,drought,0.367799171,0.015030368,
4/19/22,20,20,4,3600,CONFYM,drought,0.369042668,0.015081185,
4/19/22,21,21,1,0,BIODYN,control,0.358629644,0.014768682,0.022
4/19/22,21,21,2,1200,BIODYN,control,0.359001303,0.014783987,
4/19/22,21,21,3,2400,BIODYN,control,0.365226365,0.01504034,
4/19/22,21,21,4,3600,BIODYN,control,0.366191176,0.015080072,
4/19/22,22,22,1,0,BIODYN,drought,0.357979237,0.01462907,0.024
4/19/22,22,22,2,1200,BIODYN,drought,0.361166902,0.014759336,
4/19/22,22,22,3,2400,BIODYN,drought,0.362367607,0.014808404,
4/19/22,22,22,4,3600,BIODYN,drought,0.367584773,0.015021607,
4/19/22,23,23,1,0,CONMIN,control,0.360902459,0.014862278,0.183
4/19/22,23,23,2,1200,CONMIN,control,0.386085488,0.015899337,
4/19/22,23,23,3,2400,CONMIN,control,0.414504992,0.017069677,
4/19/22,23,23,4,3600,CONMIN,control,0.435075302,0.01791678,
4/19/22,24,24,1,0,CONMIN,drought,0.359330078,0.014684273,0.022
4/19/22,24,24,2,1200,CONMIN,drought,0.361474227,0.014771895,
4/19/22,24,24,3,2400,CONMIN,drought,0.366212616,0.014965533,
4/19/22,24,24,4,3600,CONMIN,drought,0.366920137,0.014994446,
4/26/22,1,1,1,0,CONMIN,control,0.368783324,0.015331942,0.648
4/26/22,1,1,2,1200,CONMIN,control,0.440533474,0.01831491,
4/26/22,1,1,3,2400,CONMIN,control,0.491582614,0.020437247,
4/26/22,1,1,4,3600,CONMIN,control,0.620474115,0.025795833,
4/26/22,2,2,1,0,CONMIN,drought,0.364577577,0.015055848,0.186
4/26/22,2,2,2,1200,CONMIN,drought,0.393127936,0.016234883,
4/26/22,2,2,3,2400,CONMIN,drought,0.413077941,0.017058752,
4/26/22,2,2,4,3600,CONMIN,drought,0.434155472,0.017929184,
4/26/22,3,3,1,0,BIODYN,control,0.361358693,0.015023267,0.018
4/26/22,3,3,2,1200,BIODYN,control,0.362343796,0.015064222,
4/26/22,3,3,3,2400,BIODYN,control,0.366729123,0.015246539,
4/26/22,3,3,4,3600,BIODYN,control,0.367564294,0.015281261,
4/26/22,4,4,1,0,BIODYN,drought,0.36023084,0.014876342,0.011
4/26/22,4,4,2,1200,BIODYN,drought,0.365517878,0.015094679,
4/26/22,4,4,3,2400,BIODYN,drought,0.363291396,0.015002733,
4/26/22,4,4,4,3600,BIODYN,drought,0.365427605,0.015090951,
4/26/22,5,5,1,0,CONFYM,control,0.376304078,0.015644612,8.140
4/26/22,5,5,2,1200,CONFYM,control,1.409409499,0.05859534,
4/26/22,5,5,3,2400,CONFYM,control,2.554167187,0.106187942,
4/26/22,5,5,4,3600,CONFYM,control,3.676081051,0.152830826,
4/26/22,6,6,1,0,CONFYM,drought,0.366443225,0.015132893,0.021
4/26/22,6,6,2,1200,CONFYM,drought,0.368226464,0.015206535,
4/26/22,6,6,3,2400,CONFYM,drought,0.370183141,0.015287339,
4/26/22,6,6,4,3600,CONFYM,drought,0.374511818,0.015466099,
4/26/22,7,7,1,0,CONFYM,control,0.372192912,0.015473693,1.906
4/26/22,7,7,2,1200,CONFYM,control,0.703632515,0.029253092,
4/26/22,7,7,3,2400,CONFYM,control,0.916030293,0.0380834,
4/26/22,7,7,4,3600,CONFYM,control,1.060094486,0.044072781,
4/26/22,8,8,1,0,CONFYM,drought,0.360697003,0.014895593,0.037
4/26/22,8,8,2,1200,CONFYM,drought,0.372313361,0.01537531,
4/26/22,8,8,3,2400,CONFYM,drought,0.371485305,0.015341114,
4/26/22,8,8,4,3600,CONFYM,drought,0.377840561,0.015603565,
4/26/22,9,9,1,0,CONMIN,control,0.377878223,0.015710057,9.353
4/26/22,9,9,2,1200,CONMIN,control,1.451466207,0.060343822,
4/26/22,9,9,3,2400,CONMIN,control,2.61632323,0.108772041,
4/26/22,9,9,4,3600,CONMIN,control,3.868847656,0.16084498,
4/26/22,10,10,1,0,CONMIN,drought,0.363712582,0.015020126,0.016
4/26/22,10,10,2,1200,CONMIN,drought,0.364209004,0.015040627,
4/26/22,10,10,3,2400,CONMIN,drought,0.366352943,0.015129164,
4/26/22,10,10,4,3600,CONMIN,drought,0.37012293,0.015284852,
4/26/22,11,11,1,0,BIODYN,control,0.359599301,0.014950121,0.020
4/26/22,11,11,2,1200,BIODYN,control,0.362870228,0.015086108,
4/26/22,11,11,3,2400,BIODYN,control,0.36469793,0.015162094,
4/26/22,11,11,4,3600,BIODYN,control,0.367368662,0.015273128,
4/26/22,12,12,1,0,BIODYN,drought,0.363592241,0.015015157,0.008
4/26/22,12,12,2,1200,BIODYN,drought,0.362403958,0.014966084,
4/26/22,12,12,3,2400,BIODYN,drought,0.36345686,0.015009566,
4/26/22,12,12,4,3600,BIODYN,drought,0.366932266,0.015153088,
4/26/22,13,13,1,0,BIODYN,control,0.363772753,0.01512363,0.003
4/26/22,13,13,2,1200,BIODYN,control,0.361674516,0.015036397,
4/26/22,13,13,3,2400,BIODYN,control,0.365653289,0.015201812,
4/26/22,13,13,4,3600,BIODYN,control,0.363870532,0.015127695,
4/26/22,14,14,1,0,BIODYN,drought,0.362802543,0.014982545,0.040
4/26/22,14,14,2,1200,BIODYN,drought,0.36850489,0.015218033,
4/26/22,14,14,3,2400,BIODYN,drought,0.372990915,0.015403291,
4/26/22,14,14,4,3600,BIODYN,drought,0.378119263,0.015615074,
4/26/22,15,15,1,0,CONMIN,control,0.368813425,0.015333193,5.407
4/26/22,15,15,2,1200,CONMIN,control,1.184360673,0.049239072,
4/26/22,15,15,3,2400,CONMIN,control,1.944764078,0.08085238,
4/26/22,15,15,4,3600,CONMIN,control,2.56062017,0.106456221,
4/26/22,16,16,1,0,CONMIN,drought,0.362531804,0.014971364,0.018
4/26/22,16,16,2,1200,CONMIN,drought,0.362727337,0.014979439,
4/26/22,16,16,3,2400,CONMIN,drought,0.366142289,0.015120465,
4/26/22,16,16,4,3600,CONMIN,drought,0.368963934,0.01523699,
4/26/22,17,17,1,0,CONFYM,control,0.363118414,0.015096426,3.199
4/26/22,17,17,2,1200,CONFYM,control,0.800385513,0.033275539,
4/26/22,17,17,3,2400,CONFYM,control,1.227197481,0.051019986,
4/26/22,17,17,4,3600,CONFYM,control,1.667684552,0.069332967,
4/26/22,18,18,1,0,CONFYM,drought,0.364472269,0.015051499,0.023
4/26/22,18,18,2,1200,CONFYM,drought,0.368662919,0.015224559,
4/26/22,18,18,3,2400,CONFYM,drought,0.37346523,0.015422878,
4/26/22,18,18,4,3600,CONFYM,drought,0.373344767,0.015417904,
4/26/22,19,19,1,0,CONFYM,control,0.382315805,0.015894546,8.422
4/26/22,19,19,2,1200,CONFYM,control,1.525648419,0.063427902,
4/26/22,19,19,3,2400,CONFYM,control,2.571533295,0.106909927,
4/26/22,19,19,4,3600,CONFYM,control,3.600900524,0.149705242,
4/26/22,20,20,1,0,CONFYM,drought,0.369754143,0.015269623,0.012
4/26/22,20,20,2,1200,CONFYM,drought,0.367315992,0.015168935,
4/26/22,20,20,3,2400,CONFYM,drought,0.371989658,0.015361942,
4/26/22,20,20,4,3600,CONFYM,drought,0.373404998,0.015420391,
4/26/22,21,21,1,0,BIODYN,control,0.361561721,0.015031708,0.047
4/26/22,21,21,2,1200,BIODYN,control,0.370333671,0.015396396,
4/26/22,21,21,3,2400,BIODYN,control,0.375159403,0.015597023,
4/26/22,21,21,4,3600,BIODYN,control,0.38020601,0.015806833,
4/26/22,22,22,1,0,BIODYN,drought,0.362727337,0.014979439,0.020
4/26/22,22,22,2,1200,BIODYN,drought,0.366006871,0.015114873,
