ASVid;Order;Clade;Sub_Clade;Sub_Clade2;Taxonomy
ASV_12;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_13;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_14;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_15;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_16;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_17;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_18;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_19;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_20;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_21;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_22;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_23;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_24;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_25;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_26;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_27;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_28;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_29;Nitrososphaerales;NS-Gamma;NS-Gamma-1.IS;Nitrososphaerales (NS-Gamma-1.IS);NS-Gamma-1.Incertae_sedis_OTU1_1-EU651089
ASV_30;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_31;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_32;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_33;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_34;Nitrososphaerales;NS-Gamma;NS-Gamma-2.2.1.2;Nitrososphaerales (NS-Gamma-2.2.1.2);NS-Gamma-2.2.1.2-JX570746
ASV_35;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_36;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_37;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_38;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_39;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_40;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_41;Nitrososphaerales;NS-Beta;NS-Beta-1;Nitrososphaerales (NS-Beta-1);NS-Beta-1_OTU10_1-EU671395
ASV_42;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_43;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_44;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_45;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_46;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_47;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_48;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_49;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_50;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_51;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_52;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_53;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_54;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_55;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_56;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_57;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_58;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_59;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_60;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_61;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_62;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_63;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_64;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_65;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_66;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_67;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_68;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_69;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_70;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_71;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_72;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_73;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_74;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_75;Nitrososphaerales;NS-Beta;NS-Beta-1;Nitrososphaerales (NS-Beta-1);NS-Beta-1_OTU10_1-EU671395
ASV_76;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_77;Nitrososphaerales;NS-Gamma;NS-Gamma-1.IS;Nitrososphaerales (NS-Gamma-1.IS);NS-Gamma-1.Incertae_sedis_OTU1_1-EU651089
ASV_78;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_79;Nitrososphaerales;NS-Alpha;NS-Alpha-2;Nitrososphaerales (NS-Alpha-2);NS-Alpha-2_OTU1_1-JF520968
ASV_80;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_81;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_82;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_83;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_84;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_85;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_86;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_87;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_88;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_89;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_90;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_91;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_92;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_93;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_94;Nitrososphaerales;NS-Beta;NS-Beta-2.1;Nitrososphaerales (NS-Beta-2.1);NS-Beta-2.1_OTU1_1-FJ601605
ASV_95;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_96;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_97;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_98;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_99;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_100;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_101;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_102;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_103;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_104;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_105;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_106;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_107;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_108;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_109;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_110;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_111;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_112;Nitrososphaerales;NS-Beta;NS-Beta-2.1;Nitrososphaerales (NS-Beta-2.1);NS-Beta-2.1_OTU1_1-FJ601605
ASV_113;Nitrososphaerales;NS-Epsilon;NS-Epsilon-2.2;Nitrososphaerales (NS-Epsilon-2.2);NS-Epsilon-2.2_OTU7_1-KJ081253
ASV_114;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_115;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU6_1-EU590133
ASV_116;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_117;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_118;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.1.1;Ca.Nitrosotaleales (NT-Alpha-1.1.1.1);NT-Alpha-1.1.1.1-KJ864188
ASV_119;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_120;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_121;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_122;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_123;Nitrososphaerales;NS-Alpha;NS-Alpha-2;Nitrososphaerales (NS-Alpha-2);NS-Alpha-2_OTU1_1-JF520968
ASV_124;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_125;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_126;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_127;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_128;Nitrososphaerales;NS-Epsilon;NS-Epsilon-2.2;Nitrososphaerales (NS-Epsilon-2.2);NS-Epsilon-2.2_OTU7_1-KJ081253
ASV_129;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_130;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_131;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_132;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_133;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_134;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_135;Nitrososphaerales;NS-Beta;NS-Beta-2.1;Nitrososphaerales (NS-Beta-2.1);NS-Beta-2.1_OTU1_1-FJ601605
ASV_136;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_137;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_138;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_139;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_140;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_141;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_142;Nitrososphaerales;NS-Gamma;NS-Gamma-2.1.2.2;Nitrososphaerales (NS-Gamma-2.1.2.2);NS-Gamma-2.1.2.2-HQ007740
ASV_143;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_144;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_145;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_146;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_147;Nitrososphaerales;NS-Gamma;NS-Gamma-2.1;Nitrososphaerales (NS-Gamma-2.1);NS-Gamma-2.1_OTU1_1-JX010789
ASV_148;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_149;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_150;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_151;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_152;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_153;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_154;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_155;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_156;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_157;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_158;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_159;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha;Ca.Nitrosotaleales (NT-Alpha);NT-Alpha_OTU7_1-JN418180
