,source,classified,treatment,date ,combination,correct_of_4_reps,not_correct,rate
S58,Rainout,Rainout,M,7/5/22,,,,
S60,Rainout,Rainout,D,7/5/22,,,,
S62,Rainout,Rainout,D,7/5/22,,,,
S64,Rainout,Control,M,7/5/22,,,,
S66,Rainout,Control,K,7/5/22,,,,
S68,Rainout,Rainout,K,7/5/22,,,,
S70,Rainout,Rainout,D,7/5/22,,,,
S72,Rainout,Rainout,M,7/5/22,,,,
S74,Rainout,Rainout,M,7/20/22,,,,
S76,Rainout,Rainout,D,7/20/22,,,,
S78,Rainout,Rainout,K,7/20/22,,,,
S80,Rainout,Rainout,K,7/20/22,,,,
S82,Rainout,Rainout,M,7/20/22,,,,
S84,Rainout,Rainout,D,7/20/22,,,,
S86,Rainout,Rainout,D,7/20/22,,,,
S88,Rainout,Rainout,M,7/20/22,,,,
S90,Rainout,Rainout,K,7/20/22,,,,
S92,Rainout,Rainout,K,7/20/22,,,,
S94,Rainout,Rainout,D,7/20/22,,,,
S96,Rainout,Rainout,M,7/20/22,,,,
S98,Rainout,Rainout,M,9/13/22,,,,
S100,Rainout,Rainout,D,9/13/22,,,,
S102,Rainout,Rainout,K,9/13/22,,,,
S104,Rainout,Rainout,K,9/13/22,,,,
S106,Rainout,Control,M,9/13/22,,,,
S108,Rainout,Rainout,D,9/13/22,,,,
S110,Rainout,Rainout,D,9/13/22,,,,
S112,Rainout,Rainout,M,9/13/22,,,,
S114,Rainout,Control,K,9/13/22,,,,
S116,Rainout,Rainout,K,9/13/22,,,,
S118,Rainout,Rainout,D,9/13/22,,,,
S120,Rainout,Control,M,9/13/22,,,,
